pool_name,community_address,measurement_date,measurement_employee,ph,turbidity,free_chlorine,unnamed_separator_1,sunscreen_overuse,ph_pump_flow_rate,hypochlorite_pump_flow_rate,motor_pump_flow_rate,filter_diameter,number_of_filters,number_of_motors,heated_pool,community_pool,skimmer_pool,overflow_pool,outdoor_pool,oval_pool,private_pool,public_pool,rectangular_pool_0714,rectangular_pool_07,round_pool,pool_surface_area,contaminating_vegetation,pool_volume,deck_grass_area,deck_mixed_area,deck_paved_area,unnamed_separator_2,maintenance_employee,maintenance_date,ph_dosing_hours,daily_filtration_hours,ph_dosing_percentage,filter_wash_rinse_time,hypo_dosing_hours,hypo_dosing_percentage,water_temperature,unnamed_separator_3,chemical_dosing_employee,chemical_dosing_date,chemical_t500_qp,chemical_alboral_tablets_250g,chemical_flovil_tablets,chemical_hypo_carboys_20kg,chemical_hypo_gr_chloryte,chemical_hypo_granules_xaka,chemical_hypo_sticks_bayrol,chemical_hypo_tabs_ritocal,chemical_hypo_tablets_200g_qp,chemical_hypo_tablets_xaka,chemical_ph_minus_granules_6kg,chemical_ph_minus_liquid_13_5kg,chemical_ph_minus_liquid_27kg,chemical_protect_and_shine,chemical_sg_xaka_agonet_gr90,chemical_superklar
Cabo Verde (19),"Av. Jaime I El Conquistador, 5 03560 El Campello, Alicante",16-03-2023 10:13,Abel Melquiades Fernández,7.5,0.7,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,Jesús Cristo Morán,25-05-2023,,,2.0,,,,,,Jesús Cristo Morán,01-07-2023,,,3.0,,,,,,,,,,,,,
Cabo Verde (19),"Av. Jaime I El Conquistador, 5 03560 El Campello, Alicante",17-03-2023 10:28,Abel Melquiades Fernández,7.4,0.7,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,Jesús Cristo Morán,25-05-2023,,,,,,,21.8,,Jesús Cristo Morán,04-07-2023,,,,,,,,,,,,,,,,0.5
Cabo Verde (19),"Av. Jaime I El Conquistador, 5 03560 El Campello, Alicante",23-03-2023 10:58,Jesús Cristo Morán,7.3,0.2,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,Jesús Cristo Morán,01-06-2023,,13.0,,,,,,,Jesús Cristo Morán,04-07-2023,,,,,,,,,,,,,,,1.0,
Cabo Verde (19),"Av. Jaime I El Conquistador, 5 03560 El Campello, Alicante",31-03-2023 09:30,Jesús Cristo Morán,7.4,0.3,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,Jesús Cristo Morán,01-06-2023,,,,,,,24.3,,Jesús Cristo Morán,06-07-2023,0.5,,,,,,,,,,,,,,,
Cabo Verde (19),"Av. Jaime I El Conquistador, 5 03560 El Campello, Alicante",06-04-2023 10:08,Jesús Cristo Morán,7.4,0.2,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,Jesús Cristo Morán,03-06-2023,,,,,,,25.1,,Jesús Cristo Morán,08-07-2023,1.5,,,,,,,,,,,,,,,
Cabo Verde (19),"Av. Jaime I El Conquistador, 5 03560 El Campello, Alicante",12-04-2023 12:58,Jesús Cristo Morán,7.4,0.2,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,Jesús Cristo Morán,10-06-2023,,,,,,,27.1,,Jesús Cristo Morán,08-07-2023,,,4.0,,,,,,,,,,,,,
Cabo Verde (19),"Av. Jaime I El Conquistador, 5 03560 El Campello, Alicante",21-04-2023 08:59,Jesús Cristo Morán,7.4,0.2,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,Jesús Cristo Morán,10-06-2023,,,,,10.0,,,,Jesús Cristo Morán,11-07-2023,,,4.0,,,,,,,,,,,,,
Cabo Verde (19),"Av. Jaime I El Conquistador, 5 03560 El Campello, Alicante",26-04-2023 13:19,Jesús Cristo Morán,7.4,0.3,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,Jesús Cristo Morán,13-06-2023,,,,,,12.0,,,Jesús Cristo Morán,11-07-2023,,,,,,,,,,,,,,,1.0,
Cabo Verde (19),"Av. Jaime I El Conquistador, 5 03560 El Campello, Alicante",04-05-2023 12:01,Jesús Cristo Morán,7.4,0.3,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,Jesús Cristo Morán,13-06-2023,,,,,13.0,,,,Jesús Cristo Morán,11-07-2023,0.5,,,,,,,,,,,,,,,
Cabo Verde (19),"Av. Jaime I El Conquistador, 5 03560 El Campello, Alicante",12-05-2023 10:51,Jesús Cristo Morán,7.3,0.3,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,Jesús Cristo Morán,13-06-2023,,,,,,,27.2,,Jesús Cristo Morán,15-07-2023,1.0,,,,,,,,,,,,,,,
Cabo Verde (19),"Av. Jaime I El Conquistador, 5 03560 El Campello, Alicante",19-05-2023 08:38,Jesús Cristo Morán,7.5,0.3,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,Jesús Cristo Morán,15-06-2023,,,,,,,26.6,,Jesús Cristo Morán,15-07-2023,,,4.0,,,,,,,,,,,,,
Cabo Verde (19),"Av. Jaime I El Conquistador, 5 03560 El Campello, Alicante",25-05-2023 09:12,Jesús Cristo Morán,7.5,0.3,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,Jesús Cristo Morán,15-06-2023,,,,,14.0,,,,Jesús Cristo Morán,18-07-2023,,,,,,,,,,,,,,,,0.5
Cabo Verde (19),"Av. Jaime I El Conquistador, 5 03560 El Campello, Alicante",01-06-2023 09:40,Jesús Cristo Morán,7.3,0.3,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,Jesús Cristo Morán,17-06-2023,,,,,,,27.3,,Jesús Cristo Morán,20-07-2023,0.5,,,,,,,,,,,,,,,
Cabo Verde (19),"Av. Jaime I El Conquistador, 5 03560 El Campello, Alicante",03-06-2023 07:42,Jesús Cristo Morán,7.3,0.3,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,Jesús Cristo Morán,20-06-2023,,,,,,,27.1,,Jesús Cristo Morán,22-07-2023,,,4.0,,,,,,,,,,,,,
Cabo Verde (19),"Av. Jaime I El Conquistador, 5 03560 El Campello, Alicante",06-06-2023 08:17,Jesús Cristo Morán,7.4,0.3,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,Jesús Cristo Morán,20-06-2023,,,,,15.0,,,,Jesús Cristo Morán,22-07-2023,1.0,,,,,,,,,,,,,,,
Cabo Verde (19),"Av. Jaime I El Conquistador, 5 03560 El Campello, Alicante",08-06-2023 08:38,Jesús Cristo Morán,7.3,0.3,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,Jesús Cristo Morán,22-06-2023,,,,,,,28.0,,Jesús Cristo Morán,25-07-2023,,,,,,,,,,,,,,,,0.5
Cabo Verde (19),"Av. Jaime I El Conquistador, 5 03560 El Campello, Alicante",10-06-2023 07:22,Jesús Cristo Morán,7.2,0.2,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,Jesús Cristo Morán,24-06-2023,,,,,,12.0,,,Jesús Cristo Morán,29-07-2023,1.5,,,,,,,,,,,,,,,
Cabo Verde (19),"Av. Jaime I El Conquistador, 5 03560 El Campello, Alicante",13-06-2023 07:44,Jesús Cristo Morán,7.3,0.3,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,Jesús Cristo Morán,24-06-2023,,,,,,,28.3,,Jesús Cristo Morán,29-07-2023,,,4.0,,,,,,,,,,,,,
Cabo Verde (19),"Av. Jaime I El Conquistador, 5 03560 El Campello, Alicante",15-06-2023 07:52,Jesús Cristo Morán,7.2,0.2,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,Jesús Cristo Morán,27-06-2023,,,,,,,28.4,,Jesús Cristo Morán,01-08-2023,1.0,,,,,,,,,,,,,,,
Cabo Verde (19),"Av. Jaime I El Conquistador, 5 03560 El Campello, Alicante",17-06-2023 07:44,Jesús Cristo Morán,7.2,0.3,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,Jesús Cristo Morán,29-06-2023,,,,,,,28.4,,Jesús Cristo Morán,01-08-2023,,,4.0,,,,,,,,,,,,,
Cabo Verde (19),"Av. Jaime I El Conquistador, 5 03560 El Campello, Alicante",20-06-2023 07:41,Jesús Cristo Morán,7.3,0.3,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,Jesús Cristo Morán,01-07-2023,,,,,,,28.8,,Jesús Cristo Morán,03-08-2023,1.5,,,,,,,,,,,,,,,
Cabo Verde (19),"Av. Jaime I El Conquistador, 5 03560 El Campello, Alicante",22-06-2023 07:55,Jesús Cristo Morán,7.2,0.3,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,Jesús Cristo Morán,01-07-2023,,,,,,14.0,,,Jesús Cristo Morán,05-08-2023,1.5,,,,,,,,,,,,,,,
Cabo Verde (19),"Av. Jaime I El Conquistador, 5 03560 El Campello, Alicante",24-06-2023 07:33,Jesús Cristo Morán,7.3,0.3,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,Jesús Cristo Morán,04-07-2023,,,,,,,29.1,,Jesús Cristo Morán,05-08-2023,,,4.0,,,,,,,,,,,,,
Cabo Verde (19),"Av. Jaime I El Conquistador, 5 03560 El Campello, Alicante",27-06-2023 07:56,Jesús Cristo Morán,7.3,0.3,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,Jesús Cristo Morán,06-07-2023,,,,,,,29.7,,Jesús Cristo Morán,08-08-2023,,,,,,,,,,,,,,,1.0,
Cabo Verde (19),"Av. Jaime I El Conquistador, 5 03560 El Campello, Alicante",29-06-2023 07:51,Jesús Cristo Morán,7.3,0.2,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,Jesús Cristo Morán,13-07-2023,,,,,,,30.8,,Jesús Cristo Morán,08-08-2023,,,,,,,,,,,,,,,,0.5
Cabo Verde (19),"Av. Jaime I El Conquistador, 5 03560 El Campello, Alicante",01-07-2023 07:35,Jesús Cristo Morán,7.2,0.3,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,Jesús Cristo Morán,18-07-2023,,,,,,,30.8,,Jesús Cristo Morán,12-08-2023,,,4.0,,,,,,,,,,,,,
Cabo Verde (19),"Av. Jaime I El Conquistador, 5 03560 El Campello, Alicante",04-07-2023 07:41,Jesús Cristo Morán,7.2,0.3,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,Jesús Cristo Morán,25-07-2023,,,,,,,29.2,,Jesús Cristo Morán,12-08-2023,2.0,,,,,,,,,,,,,,,
Cabo Verde (19),"Av. Jaime I El Conquistador, 5 03560 El Campello, Alicante",06-07-2023 07:55,Jesús Cristo Morán,7.2,0.3,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,Jesús Cristo Morán,25-07-2023,,,,,,15.0,,,Jesús Cristo Morán,15-08-2023,1.0,,,,,,,,,,,,,,,
Cabo Verde (19),"Av. Jaime I El Conquistador, 5 03560 El Campello, Alicante",08-07-2023 07:33,Jesús Cristo Morán,7.2,0.3,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,Jesús Cristo Morán,27-07-2023,,,,,,,29.5,,Jesús Cristo Morán,15-08-2023,,,,,,,,,,,,,,,,0.5
Cabo Verde (19),"Av. Jaime I El Conquistador, 5 03560 El Campello, Alicante",11-07-2023 08:26,Jesús Cristo Morán,7.2,0.3,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,Jesús Cristo Morán,03-08-2023,,,,,,,31.8,,Jesús Cristo Morán,17-08-2023,,,,,,,,,,,,,,,2.0,
Cabo Verde (19),"Av. Jaime I El Conquistador, 5 03560 El Campello, Alicante",13-07-2023 08:21,Jesús Cristo Morán,7.2,0.2,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,Jesús Cristo Morán,03-08-2023,,,,,,20.0,,,Jesús Cristo Morán,19-08-2023,,,3.0,,,,,,,,,,,,,
Cabo Verde (19),"Av. Jaime I El Conquistador, 5 03560 El Campello, Alicante",15-07-2023 07:55,Jesús Cristo Morán,7.2,0.3,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,Jesús Cristo Morán,08-08-2023,,,,,,,28.2,,Jesús Cristo Morán,19-08-2023,1.0,,,,,,,,,,,,,,,
Cabo Verde (19),"Av. Jaime I El Conquistador, 5 03560 El Campello, Alicante",18-07-2023 07:58,Jesús Cristo Morán,7.2,0.3,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,Jesús Cristo Morán,10-08-2023,,,,,,,28.6,,Jesús Cristo Morán,22-08-2023,,,,,,,,,,,,,,,,0.5
Cabo Verde (19),"Av. Jaime I El Conquistador, 5 03560 El Campello, Alicante",20-07-2023 07:57,Jesús Cristo Morán,7.2,0.3,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,Jesús Cristo Morán,22-08-2023,,,,,,18.0,,,Jesús Cristo Morán,26-08-2023,2.0,,,,,,,,,,,,,,,
Cabo Verde (19),"Av. Jaime I El Conquistador, 5 03560 El Campello, Alicante",22-07-2023 07:19,Jesús Cristo Morán,7.2,0.3,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,Jesús Cristo Morán,22-08-2023,,,,,,,30.5,,Jesús Cristo Morán,26-08-2023,,,4.0,,,,,,,,,,,,,
Cabo Verde (19),"Av. Jaime I El Conquistador, 5 03560 El Campello, Alicante",25-07-2023 07:55,Jesús Cristo Morán,7.2,0.2,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,Jesús Cristo Morán,29-08-2023,,,,,,,26.1,,Jesús Cristo Morán,26-12-2023,,,,,,,,,,,,,,,1.0,
Cabo Verde (19),"Av. Jaime I El Conquistador, 5 03560 El Campello, Alicante",27-07-2023 07:57,Jesús Cristo Morán,7.2,0.3,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,Jesús Cristo Morán,29-08-2023,,,,,,15.0,,,,,,,,,,,,,,,,,,,,
Cabo Verde (19),"Av. Jaime I El Conquistador, 5 03560 El Campello, Alicante",29-07-2023 07:19,Jesús Cristo Morán,7.3,0.3,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,Jesús Cristo Morán,29-08-2023,,,,,14.0,,,,,,,,,,,,,,,,,,,,,
Cabo Verde (19),"Av. Jaime I El Conquistador, 5 03560 El Campello, Alicante",01-08-2023 08:16,Jesús Cristo Morán,7.2,0.2,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,Jesús Cristo Morán,31-08-2023,,,,,,,26.2,,,,,,,,,,,,,,,,,,,
Cabo Verde (19),"Av. Jaime I El Conquistador, 5 03560 El Campello, Alicante",03-08-2023 07:56,Jesús Cristo Morán,7.2,0.3,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,Jesús Cristo Morán,31-08-2023,,,,,,11.0,,,,,,,,,,,,,,,,,,,,
Cabo Verde (19),"Av. Jaime I El Conquistador, 5 03560 El Campello, Alicante",05-08-2023 07:24,Jesús Cristo Morán,7.3,0.2,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,Jesús Cristo Morán,05-09-2023,,,,,12.0,,,,,,,,,,,,,,,,,,,,,
Cabo Verde (19),"Av. Jaime I El Conquistador, 5 03560 El Campello, Alicante",08-08-2023 07:54,Jesús Cristo Morán,7.2,0.3,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,Jesús Cristo Morán,05-09-2023,,,,,,11.0,,,,,,,,,,,,,,,,,,,,
Cabo Verde (19),"Av. Jaime I El Conquistador, 5 03560 El Campello, Alicante",10-08-2023 07:46,Jesús Cristo Morán,7.2,0.3,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,Jesús Cristo Morán,05-09-2023,,,,,,,25.3,,,,,,,,,,,,,,,,,,,
Cabo Verde (19),"Av. Jaime I El Conquistador, 5 03560 El Campello, Alicante",12-08-2023 07:06,Jesús Cristo Morán,7.3,0.3,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,Jesús Cristo Morán,07-09-2023,,,,,,,26.1,,,,,,,,,,,,,,,,,,,
Cabo Verde (19),"Av. Jaime I El Conquistador, 5 03560 El Campello, Alicante",15-08-2023 07:47,Jesús Cristo Morán,7.3,0.3,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,Jesús Cristo Morán,07-09-2023,,,,,,11.0,,,,,,,,,,,,,,,,,,,,
Cabo Verde (19),"Av. Jaime I El Conquistador, 5 03560 El Campello, Alicante",17-08-2023 08:20,Jesús Cristo Morán,7.2,0.2,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,Jesús Cristo Morán,25-09-2023,,,,,12.0,,,,,,,,,,,,,,,,,,,,,
Cabo Verde (19),"Av. Jaime I El Conquistador, 5 03560 El Campello, Alicante",19-08-2023 07:35,Jesús Cristo Morán,7.3,0.3,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,Jesús Cristo Morán,25-09-2023,,,,,,,25.4,,,,,,,,,,,,,,,,,,,
Cabo Verde (19),"Av. Jaime I El Conquistador, 5 03560 El Campello, Alicante",22-08-2023 07:47,Jesús Cristo Morán,7.3,0.2,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,Jesús Cristo Morán,27-09-2023,,,,,,,25.6,,,,,,,,,,,,,,,,,,,
Cabo Verde (19),"Av. Jaime I El Conquistador, 5 03560 El Campello, Alicante",24-08-2023 07:43,Jesús Cristo Morán,7.4,0.3,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,Jesús Cristo Morán,27-09-2023,,,,,9.0,,,,,,,,,,,,,,,,,,,,,
Cabo Verde (19),"Av. Jaime I El Conquistador, 5 03560 El Campello, Alicante",26-08-2023 07:20,Jesús Cristo Morán,7.2,0.3,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,Jesús Cristo Morán,16-10-2023,,,,,,,24.1,,,,,,,,,,,,,,,,,,,
Cabo Verde (19),"Av. Jaime I El Conquistador, 5 03560 El Campello, Alicante",29-08-2023 07:49,Jesús Cristo Morán,7.2,0.3,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,Jesús Cristo Morán,16-10-2023,,,,,6.0,,,,,,,,,,,,,,,,,,,,,
Cabo Verde (19),"Av. Jaime I El Conquistador, 5 03560 El Campello, Alicante",31-08-2023 07:32,Jesús Cristo Morán,7.2,0.3,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,Jesús Cristo Morán,16-10-2023,,6.0,,,,,,,,,,,,,,,,,,,,,,,,
Cabo Verde (19),"Av. Jaime I El Conquistador, 5 03560 El Campello, Alicante",02-09-2023 07:08,Jesús Cristo Morán,7.2,0.3,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,Jesús Cristo Morán,05-12-2023,,,,,,,12.5,,,,,,,,,,,,,,,,,,,
Cabo Verde (19),"Av. Jaime I El Conquistador, 5 03560 El Campello, Alicante",05-09-2023 09:15,Jesús Cristo Morán,7.2,0.3,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,Jesús Cristo Morán,05-12-2023,,,,,2.5,,,,,,,,,,,,,,,,,,,,,
Cabo Verde (19),"Av. Jaime I El Conquistador, 5 03560 El Campello, Alicante",07-09-2023 08:38,Jesús Cristo Morán,7.2,0.3,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,Jesús Cristo Morán,26-12-2023,,,,,,,10.3,,,,,,,,,,,,,,,,,,,
Cabo Verde (19),"Av. Jaime I El Conquistador, 5 03560 El Campello, Alicante",09-09-2023 07:21,Jesús Cristo Morán,7.3,0.3,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,Jesús Cristo Morán,26-12-2023,,,,,,0.0,,,,,,,,,,,,,,,,,,,,
Cabo Verde (19),"Av. Jaime I El Conquistador, 5 03560 El Campello, Alicante",12-09-2023 08:44,Jesús Cristo Morán,7.3,0.3,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,Jesús Cristo Morán,26-12-2023,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
Cabo Verde (19),"Av. Jaime I El Conquistador, 5 03560 El Campello, Alicante",14-09-2023 08:46,Jesús Cristo Morán,7.2,0.3,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabo Verde (19),"Av. Jaime I El Conquistador, 5 03560 El Campello, Alicante",16-09-2023 08:18,Jesús Cristo Morán,7.3,0.3,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabo Verde (19),"Av. Jaime I El Conquistador, 5 03560 El Campello, Alicante",19-09-2023 08:39,Jesús Cristo Morán,7.3,0.2,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabo Verde (19),"Av. Jaime I El Conquistador, 5 03560 El Campello, Alicante",21-09-2023 08:28,Jesús Cristo Morán,7.3,0.3,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabo Verde (19),"Av. Jaime I El Conquistador, 5 03560 El Campello, Alicante",21-09-2023 08:28,Jesús Cristo Morán,7.3,0.3,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabo Verde (19),"Av. Jaime I El Conquistador, 5 03560 El Campello, Alicante",23-09-2023 07:19,Jesús Cristo Morán,7.5,0.3,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabo Verde (19),"Av. Jaime I El Conquistador, 5 03560 El Campello, Alicante",25-09-2023 10:15,Jesús Cristo Morán,7.2,0.3,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabo Verde (19),"Av. Jaime I El Conquistador, 5 03560 El Campello, Alicante",27-09-2023 10:25,Jesús Cristo Morán,7.2,0.3,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabo Verde (19),"Av. Jaime I El Conquistador, 5 03560 El Campello, Alicante",29-09-2023 11:19,Jesús Cristo Morán,7.2,0.3,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabo Verde (19),"Av. Jaime I El Conquistador, 5 03560 El Campello, Alicante",05-10-2023 09:54,Abel Melquiades Fernández,7.4,0.7,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabo Verde (19),"Av. Jaime I El Conquistador, 5 03560 El Campello, Alicante",10-10-2023 12:47,Jesús Cristo Morán,7.3,0.3,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabo Verde (19),"Av. Jaime I El Conquistador, 5 03560 El Campello, Alicante",16-10-2023 13:19,Jesús Cristo Morán,7.2,0.2,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabo Verde (19),"Av. Jaime I El Conquistador, 5 03560 El Campello, Alicante",23-10-2023 12:22,Jesús Cristo Morán,7.4,0.3,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
